"名称","名称カナ","住所","TEL","FAX","URL","備考","備考２","備考３","備考４","備考５","経度","緯度","分類"
"武１丁目第４公園","","神奈川県横須賀市武１丁目２０４４番地","","","","トイレなし 面積：178㎡ 平成6年4月1日開設","","","","","139.655592426479","35.2299762736769","街区公園（西部）"
"山科台公園","","神奈川県横須賀市山科台２３番１４","","","","トイレあり 面積：23,035㎡ 平成7年1月25日開設","","","","","139.658403982586","35.2394122888995","街区公園（西部）"
"湘南国際村１丁目公園","","神奈川県横須賀市湘南国際村１丁目３２０９番地","","","","トイレなし 面積：8,500㎡ 平成8年5月10日開設","","","","","139.609240251644","35.2565959387416","街区公園（西部）"
"武１丁目第５公園","","神奈川県横須賀市武１丁目１２８１番地","","","","トイレなし 面積：302㎡ 平成9年4月4日開設","","","","","139.654349544688","35.2300552740966","街区公園（西部）"
"芦名１丁目公園","","神奈川県横須賀市芦名１丁目３７５番地","","","","トイレなし 面積：197㎡ 平成13年3月27日開設","","","","","139.603636831297","35.2294750102124","街区公園（西部）"
"林５丁目公園","","神奈川県横須賀市林５丁目１２６２番８号","","","","トイレなし 面積：361㎡ 平成17年1月11日開設","","","","","139.633646204774","35.2110041304501","街区公園（西部）"
"林１丁目公園","","神奈川県横須賀市林１丁目２４５５番地","","","","トイレなし 面積：460㎡ 平成18年3月28日開設","","","","","139.637904923806","35.2208231822332","街区公園（西部）"
"佐島の丘公園","","神奈川県横須賀市佐島の丘２丁目８５６番地","","","","だれでもトイレあり 面積：14,347㎡ 平成19年4月1日開設","","","","","139.612756063457","35.225430512767","街区公園（西部）"
"佐島の丘第２公園","","神奈川県横須賀市佐島の丘１丁目２４９番地","","","","トイレなし 面積：2,401㎡ 平成19年4月1日開設","","","","","139.615014860855","35.2256755024107","街区公園（西部）"
"佐島の丘第３公園","","神奈川県横須賀市佐島の丘２丁目７５７番地","","","","トイレなし 面積：1,072㎡ 平成20年2月25日開設","","","","","139.610543303644","35.2277542331629","街区公園（西部）"
"秋谷２丁目公園","","神奈川県横須賀市秋谷２丁目２８０番地","","","","トイレなし 面積：285㎡ 平成20年3月26日開設","","","","","139.602414884631","35.2385499795685","街区公園（西部）"
"佐島の丘第４公園","","神奈川県横須賀市佐島の丘１丁目１番３","","","","だれでもトイレあり 面積：10,644㎡ 平成21年5月11日開設","","","","","139.616222769219","35.2295600783034","街区公園（西部）"
