"名称","所在地","アクセス","情報","経度","緯度","分類"
"久里浜中央通り商店会","横須賀市久里浜４丁目","京浜急行線｢京急久里浜｣駅","久里浜小学校から尻こすり坂通りの久里浜歩道橋下に至る街路をエリアとする商店会です。","139.705052893368","35.2295437808051","商店街マップ"
"久里浜すずらん通り商店会","横須賀市久里浜５丁目","京急バス｢自動車学校前｣","京急久里浜駅の南側、線路に平行に沿った街路をエリアとする商店会です。","139.70229688022","35.2288590148055","商店街マップ"
"久里浜仲通り商店街振興組合","横須賀市久里浜４丁目","京浜急行線｢京急久里浜｣駅","京急久里浜駅前ロータリーと久里浜中央自動車学校前道路の間の区画に全蓋アーケードをもつ商店街組合です。","139.703144290675","35.2298259576395","商店街マップ"
"池上商栄会","横須賀市池上２丁目・４丁目・５丁目","京急バス｢池上十字路｣｢池上中学｣","横須賀・葉山線の池上十字路交差点から衣笠方面に至る街路両側をエリアとする商店会です。","139.645710449572","35.2650323162383","商店街マップ"
"池上のれん会","横須賀市池上４丁目","京急バス｢池上十字路｣｢池上中学｣","横須賀・葉山線の池上十字路交差点から衣笠方面にかけて点在する小売店等で組織される商店会です。","139.647734025658","35.2637744265433","商店街マップ"
"平作商栄会","横須賀市平作８丁目","京急バス｢平作｣","平作住宅入口付近をエリアとする商店会です。","139.6502843834","35.2620415593473","商店街マップ"
"平作中央商店会","横須賀市平作１丁目","京急バス｢金谷｣","平作１丁目の主要道路寄りに集積した小売店等で組織される商店会です。","139.654317451049","35.2589952214478","商店街マップ"
"汐入２丁目睦商店会","横須賀市汐入町２丁目","京浜急行線｢汐入｣駅","汐入小学校前街路の京急線寄りに集積した小売店等で組織された商店会です。","139.662376535495","35.2795165924982","商店街マップ"
"衣笠仲通り商店街協同組合","横須賀市衣笠栄町１丁目","ＪＲ横須賀線｢衣笠｣駅、京急バス｢衣笠駅｣","横須賀・葉山線に並行するＪＲ線寄り市道に集積する小売店等により形成される全蓋アーケード商店街組合です。","139.663569446905","35.2566430131807","商店街マップ"
"衣笠商店街振興組合","横須賀市衣笠栄町１丁目７０番地","ＪＲ横須賀線｢衣笠｣駅、京急バス｢衣笠駅｣","横須賀・葉山線のＪＲ衣笠駅前信号から衣笠十字路交差点までの街路両側をエリアとする商店街です。","139.662482721762","35.2574958521772","商店街マップ"
"衣笠十字路睦会","横須賀市公郷町２丁目","京急バス｢衣笠十字路｣","横須賀・葉山線の衣笠十字路交差点から田中橋にかけての街路両側をエリアとする商店会です。","139.665647658689","35.256571830919","商店街マップ"
"衣笠東通り商店会","横須賀市公郷町２丁目","京急バス｢衣笠十字路｣","横須賀・葉山線の衣笠十字路交差点から公郷橋に至る街路両側をエリアとする商店会です。","139.666759821165","35.2556848348876","商店街マップ"
"汐入大通り会","横須賀市汐入町２丁目","京浜急行線｢汐入｣駅","汐入駅から西側にのびる街路をエリアとする商店会です。","139.661520928166","35.2797638965327","商店街マップ"
"汐入宮元商店会","横須賀市汐入町４丁目","京急バス｢汐入４丁目｣｢坂本坂下｣","汐入町交番から坂本町２丁目に至る街路両側をエリアとする商店会です。","139.659746820335","35.2769233181109","商店街マップ"
"若松商店街振興組合","横須賀市若松町２丁目・３丁目","京浜急行線｢横須賀中央｣駅","横須賀中央駅前Ｙデッキ下交差点周辺の小売店等で組織される商店会です。","139.670561701179","35.2785915995747","商店街マップ"
"若松商店街振興組合","横須賀市若松町２丁目・３丁目","京浜急行線｢横須賀中央｣駅","横須賀中央駅前Ｙデッキ下交差点周辺の小売店等で組織される商店会です。","139.66934941364","35.2793259534559","商店街マップ"
"若松中央通り会","横須賀市若松町１丁目","京浜急行線｢横須賀中央｣駅","横須賀中央駅前Ｙデッキ下交差点から国道16号線に至る街路両側をエリアとする商店会です。","139.672059657902","35.2792365152477","商店街マップ"
"安浦１丁目会","横須賀市安浦町１丁目","京浜急行線｢県立大学｣駅","国道16号線の米が浜町交差点から安浦町２丁目交差点に至る街路両側をエリアとする商店会です。","139.677104351115","35.2742536390803","商店街マップ"
"安浦３丁目商店会","横須賀市安浦町３丁目","京急バス｢安浦｣｢三春町１丁目｣","国道16号線の安浦町バス停から三春町１丁目バス停に至る街路両側をエリアとする商店会です。","139.679654512707","35.2702372300124","商店街マップ"
"堀ノ内商栄会","横須賀市三春町３丁目","京浜急行線｢堀ノ内｣駅","堀ノ内駅から国道16号線に向かう途中の２つの街路をエリアとする商店会です。","139.68708237036","35.2631892288346","商店街マップ"
"上町銀座商店会","横須賀市上町１丁目","京急バス｢平坂上｣","県道横須賀・三崎線の平坂の途中から文化会館入口信号付近までの街路両側をエリアとする商店会です。","139.670090384189","35.2754815630325","商店街マップ"
"中里通り商店会","横須賀市上町１丁目","京急バス｢平坂上｣","上町１丁目派出所から汐入３丁目に至る街路両側をエリアとする商店会です。","139.668383546542","35.2760709445549","商店街マップ"
"上町商盛会商店街振興組合","横須賀市上町２丁目","京急バス｢文化会館前｣","市立うわまち病院入口付近の小売店等で組織される組合で、上町地区に多く残っている看板建築をデザインに取り入れた、銅葺きのチョッと変わった新しいアーケードの商店街です。","139.670618530206","35.2731302103442","商店街マップ"
"上町三栄会","横須賀市上町３丁目","京急バス｢上町３丁目｣｢不入斗橋｣","神奈川県道26号横須賀三崎線の上町3丁目交差点から鶴久保小学校前交差点までの街路両側をエリアとする商店会です。","139.670346780846","35.2697889195431","商店街マップ"
"上町３丁目商和会","横須賀市上町３丁目","京急バス｢上町３丁目｣","横須賀・三崎線の上町歩道橋前周辺に集積する小売・飲食店で組織される商店会です。","139.670798588179","35.2686488208257","商店街マップ"
"富士見町新生会","横須賀市富士見町３丁目","京浜急行線｢県立大学｣駅","上町から県立大学駅に至る街路の上町寄り部分をエリアとする商店会です。","139.673102062365","35.2677269007476","商店街マップ"
"西佐野親交会","横須賀市佐野町３丁目・４丁目","京急バス｢佐野２丁目｣｢佐野４丁目｣","横須賀・三崎線の佐野２丁目バス停から佐野４丁目バス停に至る街路両側をエリアとする商店会です。","139.668415909755","35.2654224519601","商店街マップ"
"佐野商和会","横須賀市佐野町４丁目・５丁目","京急バス｢曹源寺｣","横須賀・三崎線の曹源寺バス停周辺の小売店等で組織される商店会です。","139.668906961279","35.2616084248626","商店街マップ"
"佐野法搭商和会","横須賀市佐野町５丁目・６丁目","京急バス｢佐野６丁目｣","横須賀・三崎線の佐野６丁目バス停周辺の小売店等で組織される商店会です。","139.667224342127","35.2583324939694","商店街マップ"
"堀ノ内商栄会","横須賀市三春町３丁目","京浜急行線｢堀ノ内｣駅","堀ノ内駅から国道16号線に向かう途中の２つの街路をエリアとする商店会です。","139.68872558571","35.2645239955886","商店街マップ"
"若松新生商業組合","","京浜急行線｢横須賀中央｣駅","","139.672061299416","35.2785262266382","商店街マップ"
"一般社団法人　リドレ商店会","横須賀市大滝町２丁目","京浜急行線｢横須賀中央｣駅","ザ・タワー横須賀中央内の商業施設部分の商店会です。","139.669979928227","35.2805864093899","商店街マップ"
"若松栄和会商店街協同組合","横須賀市若松町３丁目","京浜急行線「横須賀中央駅」","米が浜入口交差点から米が浜通郵便局前にかけての街路をエリアとする商店街です。","139.673146004473","35.2788151588777","商店街マップ"
"浦賀商友会","横須賀市浦賀町１丁目・３丁目・４丁目","京浜急行線｢浦賀｣駅","浦賀駅前県道の両方向の街路をエリアとする商店会です。","139.712506259084","35.2520299045622","商店街マップ"
"馬掘商栄会","横須賀市馬堀町３丁目","京浜急行線｢馬堀海岸｣駅","馬堀海岸駅と県道観音崎環状線との間にある小売店等で組織される商店会です。","139.70703764309","35.2602444155295","商店街マップ"
"吉倉商栄会","横須賀市吉倉町１丁目","京急バス｢吉倉｣","国道16号線の吉倉町信号周辺の小売店等で組織される商店会です。","139.647783254269","35.2874219242527","商店街マップ"
"汀親会","横須賀市東逸見町１丁目","京急バス｢汀橋｣","ウェルシティ前の逸見駅寄りの街路をエリアとする商店会です。","139.652987348399","35.2834513907908","商店街マップ"
"福見会","横須賀市東逸見町２丁目","京浜急行線｢逸見｣駅","逸見中心街区をエリアとする商店会です。","139.651655986979","35.2819815154597","商店街マップ"
"逸見美和会","横須賀市東逸見町１丁目","京急バス｢汀橋｣","国道16号線の逸見駅入口信号から逸見郵便局にかけての街路両側をエリアとする商店会です。","139.652445232387","35.2825505447044","商店街マップ"
"横須賀駅商栄会","横須賀市東逸見町１丁目","ＪＲ横須賀線｢横須賀｣駅、京急バス｢横須賀駅｣","ＪＲ横須賀駅から国道１６号線にかけての住宅街側街路をエリアとする商店会です。","139.654816164371","35.2834384906106","商店街マップ"
"田浦本町通り会","横須賀市田浦町４丁目","京急バス｢田浦郵便局｣","国道16号線の田浦町３丁目信号付近の小売店等で組織される商店会です。","139.632797412549","35.292972570055","商店街マップ"
"船越仲見世商店会","横須賀市船越町１丁目","京浜急行線｢京急田浦｣駅、京急バス｢東芝前｣","東芝ライテック（株）横須賀工場前の小売店等で組織される商店会です。","139.628191182862","35.3005515947459","商店街マップ"
"船越仲通り会","横須賀市船越町１丁目","京浜急行線｢京急田浦｣駅、京急バス｢東芝前｣","東芝ライテック（株）横須賀工場前の小売店等で組織される商店会です。","139.627917919462","35.3001484826571","商店街マップ"
"船越駅前通り商店会","横須賀市船越町１丁目・５丁目","京浜急行線｢京急田浦｣駅、京急バス｢京急田浦駅｣","国道１６号線の田浦警察署前信号から船越町交差点付近に至る京急線側エリアの商店会です。","139.626007799953","35.3006642508186","商店街マップ"
"笑和会","横須賀市本町１丁目","京浜急行線｢横須賀中央｣駅","よこすか平安閣裏の街路両側をエリアとする商店会です。","139.667378654531","35.282185157432","商店街マップ"
"大滝町親和会","横須賀市大滝町１丁目","京浜急行線｢横須賀中央｣駅","三菱東京ＵＦＪ銀行横須賀支店並びの小売店等で組織される商店会です。","139.668951403323","35.2824353483781","商店街マップ"
"横須賀仲和会","横須賀市本町１丁目","京浜急行線｢横須賀中央｣駅","聖ヨゼフ病院付近から横須賀中央通りに至る直線の街路両側をエリアとする商店会です。","139.667512071011","35.2817514109591","商店街マップ"
"追浜銀座通り商店会","横須賀市追浜本町１丁目・追浜町３丁目","京浜急行線｢追浜｣駅","追浜駅前交差点から追浜天神橋信号に至る街路両側をエリアとする商店会です。","139.627845904632","35.3165401813853","商店街マップ"
"夏島商店会","横須賀市追浜東町３丁目・浦郷町４丁目","京急バス｢追浜自動車学校｣","夏島小学校並びのビルで操業する小売店等で組織される商店会です。","139.63287481201","35.3170263054039","商店街マップ"
"追浜東町商店会","横須賀市追浜東町２丁目・３丁目","京急バス｢天神橋｣","浦郷小学校前の街路両側をエリアとする商店会です。","139.630464239344","35.31453810061","商店街マップ"
"追浜大通り３丁目商店会","横須賀市追浜町３丁目","京浜急行線｢追浜｣駅","追浜駅前右側の国道16号線両側をエリアとする商店会です。","139.625503896677","35.3151298940693","商店街マップ"
"サンロード追浜商店会","横須賀市追浜町２丁目６～７番地・１３～１４番地","京浜急行線｢追浜｣駅より徒歩１分・京急バス追浜２丁目バス停より徒歩２分","","139.625217116957","35.3136132028783","商店街マップ"
"追浜２丁目共栄会","横須賀市追浜町２丁目","京浜急行線｢追浜｣駅","国道16号線の良心寺入口交差点付近の街路をエリアとする商店会です。","139.625130028073","35.312799104446","商店街マップ"
"追浜本町共栄会","横須賀市追浜本町１丁目","京浜急行線｢追浜｣駅","追浜駅前左側の国道１６号線両側をエリアとする商店会です。","139.624856740938","35.3166080519029","商店街マップ"
