"名称","名称カナ","住所","TEL","FAX","URL","備考","経度","緯度","分類"
"鴨居臨海自治会","ｶﾓｲﾘﾝｶｲｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1632.html","","139.729046651209","35.2454784013318","町内会・自治会マップ"
"久里浜町内会","ｸﾘﾊﾏﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1705.html","","139.716991215818","35.2194369998886","町内会・自治会マップ"
"船越町２丁目町内会","ﾌﾅｺｼﾁﾖｳ2ﾁﾖｳﾒﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1202.html","","139.623909468841","35.2972770428556","町内会・自治会マップ"
"根岸町４丁目町内会","ﾈｷﾞｼﾁﾖｳ4ﾁﾖｳﾒﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1515.html","","139.679985740475","35.2540073380345","町内会・自治会マップ"
"馬堀町３・４丁目町内会","ﾏﾎﾞﾘﾁﾖｳ3.4ﾁﾖｳﾒﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1509.html","","139.711465133429","35.2586089264244","町内会・自治会マップ"
"屋形町内会","ﾔｶﾀﾁﾖｳﾅｲｶｲ","","","","","","139.612729514368","35.2042501811498","町内会・自治会マップ"
"荒巻町内会","ｱﾗﾏｷﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1602.html","","139.710014094831","35.2465147485703","町内会・自治会マップ"
"洲崎町内会","ｽｻﾞｷﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1616.html","","139.72189987732","35.2424765162548","町内会・自治会マップ"
"逸見が丘町内会","ﾍﾐｶﾞｵｶﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1309.html","","139.649400190073","35.2718097718592","町内会・自治会マップ"
"馬堀海岸４丁目自治会","ﾏﾎﾞﾘｶｲｶﾞﾝ4ﾁﾖｳﾒｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1522.html","","139.713684117388","35.2619366332922","町内会・自治会マップ"
"東浦賀和光台自治会","ﾋｶﾞｼｳﾗｶﾞﾜｺｳﾀﾞｲｼﾞﾁｶｲ","","","","","","139.724729404299","35.2434186527951","町内会・自治会マップ"
"不入斗町内会","ｲﾘﾔﾏｽﾞﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1035.html","","139.662021220159","35.2688512698022","町内会・自治会マップ"
"脇方町内会","ﾜｷｶﾀﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1630.html","","139.726514785827","35.2428298938718","町内会・自治会マップ"
"上町池の端町内会","ｳﾜﾏﾁｲｹﾉﾊﾀﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1021.html","","139.670351393278","35.2702217284458","町内会・自治会マップ"
"大矢部町内会","ｵｵﾔﾍﾞﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1420.html","","139.668715983884","35.2377575955807","町内会・自治会マップ"
"安浦３丁目町内会","ﾔｽｳﾗ3ﾁﾖｳﾒﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1009.html","","139.679621661756","35.2700076307996","町内会・自治会マップ"
"入町内会","ｲﾘﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1820.html","","139.668526821792","35.2177560627484","町内会・自治会マップ"
"長沢平田自治会","ﾅｶﾞｻﾜﾋﾗﾀｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1822.html","","139.679406495614","35.2098491701996","町内会・自治会マップ"
"内川町内会","ｳﾁｶﾜﾁｮｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1703.html","","139.698436099352","35.2353010310781","町内会・自治会マップ"
"日の出町会","ﾋﾉﾃﾞﾁﾖｳｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1006.html","","139.676982029064","35.2776996339292","町内会・自治会マップ"
"坂本町三丁目町会","ｻｶﾓﾄﾁﾖｳｻﾝﾁﾖｳﾒﾁﾖｳｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1050.html","","139.654140692522","35.2686956986187","町内会・自治会マップ"
"太田和上の里町内会","ｵｵﾀﾜｶﾐﾉｻﾄﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1942.html","","139.647756433951","35.2365487508002","町内会・自治会マップ"
"湘南たけやま町内会","ｼﾖｳﾅﾝﾀｹﾔﾏﾁﾖｳﾅｲｶｲ","","","","","","139.646117034387","35.227540940146","町内会・自治会マップ"
"三春町６丁目町内会","ﾐﾊﾙﾁﾖｳ6ﾁﾖｳﾒﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1013.html","","139.681020147874","35.2640863530417","町内会・自治会マップ"
"東佐野町会","ﾋｶﾞｼｻﾉﾁﾖｳｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1031.html","","139.672560115469","35.2658528687073","町内会・自治会マップ"
"光風台町内会","ｺｳﾌｳﾀﾞｲﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1610.html","","139.711054026454","35.2387527011148","町内会・自治会マップ"
