男女,市区町村コード,町丁字コード,地域階層レベル,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,総数,徒歩のみ,鉄道・電車,乗合バス,勤め先・学校のバス,自家用車,ハイヤー・タクシー,オートバイ,自転車,その他,利用交通手段「不詳」
総数,14101,-,1,,,,神奈川県,横浜市鶴見区,,,136205,11206,76418,31982,2091,16565,365,4734,20595,1739,5034
総数,14101,10,2,,,,神奈川県,横浜市鶴見区,大黒町,,18,2,-,-,-,-,-,-,-,-,16
総数,14101,30,3,,,,神奈川県,横浜市鶴見区,生麦,,6328,571,4001,584,124,494,13,184,728,67,316
総数,14101,3001,4,合算地域あり,,3002,神奈川県,横浜市鶴見区,生麦,一丁目,1011,134,595,106,10,49,2,31,95,15,100
総数,14101,3002,4,秘匿地域,3001,,神奈川県,横浜市鶴見区,生麦,二丁目,X,X,X,X,X,X,X,X,X,X,X
総数,14101,3003,4,,,,神奈川県,横浜市鶴見区,生麦,三丁目,1771,166,1117,170,32,153,3,42,195,25,79
総数,14101,3004,4,,,,神奈川県,横浜市鶴見区,生麦,四丁目,2045,165,1293,164,45,182,4,70,272,13,71
総数,14101,3005,4,,,,神奈川県,横浜市鶴見区,生麦,五丁目,1501,106,996,144,37,110,4,41,166,14,66
総数,14101,80,3,,,,神奈川県,横浜市鶴見区,岸谷,,5510,397,3610,825,72,541,19,161,599,61,138
総数,14101,8001,4,,,,神奈川県,横浜市鶴見区,岸谷,一丁目,1124,88,756,118,22,83,3,33,113,11,35
総数,14101,8002,4,,,,神奈川県,横浜市鶴見区,岸谷,二丁目,983,75,619,167,15,101,3,35,110,10,21
総数,14101,8003,4,,,,神奈川県,横浜市鶴見区,岸谷,三丁目,1878,134,1203,310,22,226,6,51,233,23,36
総数,14101,8004,4,,,,神奈川県,横浜市鶴見区,岸谷,四丁目,1525,100,1032,230,13,131,7,42,143,17,46
総数,14101,120,3,,,,神奈川県,横浜市鶴見区,鶴見,,1777,166,1176,145,22,92,6,29,94,16,166
総数,14101,12001,4,,,,神奈川県,横浜市鶴見区,鶴見,一丁目,1251,112,905,89,20,73,4,18,79,10,40
総数,14101,12002,4,,,,神奈川県,横浜市鶴見区,鶴見,二丁目,526,54,271,56,2,19,2,11,15,6,126
総数,14101,140,3,,,,神奈川県,横浜市鶴見区,寺谷,,2318,250,1585,334,38,154,5,37,173,21,94
総数,14101,14001,4,,,,神奈川県,横浜市鶴見区,寺谷,一丁目,1154,101,830,191,21,75,3,16,84,7,27
総数,14101,14002,4,,,,神奈川県,横浜市鶴見区,寺谷,二丁目,1164,149,755,143,17,79,2,21,89,14,67
総数,14101,160,2,,,,神奈川県,横浜市鶴見区,諏訪坂,,882,78,509,184,15,106,6,19,131,16,41
総数,14101,170,2,,,,神奈川県,横浜市鶴見区,豊岡町,,2712,293,1923,226,35,137,12,24,136,27,120
総数,14101,180,2,,,,神奈川県,横浜市鶴見区,佃野町,,2336,236,1520,239,32,180,2,37,271,23,61
総数,14101,190,3,,,,神奈川県,横浜市鶴見区,馬場,,7529,479,3805,3494,85,1414,29,453,766,100,221
総数,14101,19001,4,,,,神奈川県,横浜市鶴見区,馬場,一丁目,1046,79,509,432,17,213,9,68,97,9,35
総数,14101,19002,4,,,,神奈川県,横浜市鶴見区,馬場,二丁目,1242,72,616,603,14,242,6,90,132,20,32
総数,14101,19003,4,,,,神奈川県,横浜市鶴見区,馬場,三丁目,1295,101,625,671,20,229,3,82,129,16,35
総数,14101,19004,4,,,,神奈川県,横浜市鶴見区,馬場,四丁目,1198,77,591,600,9,230,5,57,133,19,31
総数,14101,19005,4,,,,神奈川県,横浜市鶴見区,馬場,五丁目,869,38,449,477,13,134,2,42,87,9,40
総数,14101,19006,4,,,,神奈川県,横浜市鶴見区,馬場,六丁目,826,39,409,394,3,184,2,60,90,15,22
総数,14101,19007,4,,,,神奈川県,横浜市鶴見区,馬場,七丁目,1053,73,606,317,9,182,2,54,98,12,26
総数,14101,260,3,,,,神奈川県,横浜市鶴見区,北寺尾,,7754,544,3964,3692,104,1378,21,427,832,103,190
総数,14101,26001,4,,,,神奈川県,横浜市鶴見区,北寺尾,一丁目,959,77,500,523,7,156,-,31,82,12,26
総数,14101,26002,4,,,,神奈川県,横浜市鶴見区,北寺尾,二丁目,720,56,361,373,6,133,-,21,73,6,24
総数,14101,26003,4,,,,神奈川県,横浜市鶴見区,北寺尾,三丁目,919,67,430,450,10,166,4,58,114,13,20
総数,14101,26004,4,,,,神奈川県,横浜市鶴見区,北寺尾,四丁目,1110,87,602,621,21,176,5,54,100,17,24
総数,14101,26005,4,,,,神奈川県,横浜市鶴見区,北寺尾,五丁目,1099,80,608,650,19,162,2,48,102,13,22
総数,14101,26006,4,,,,神奈川県,横浜市鶴見区,北寺尾,六丁目,1397,88,663,589,20,292,5,99,159,21,38
総数,14101,26007,4,,,,神奈川県,横浜市鶴見区,北寺尾,七丁目,1550,89,800,486,21,293,5,116,202,21,36
総数,14101,331,3,,,,神奈川県,横浜市鶴見区,獅子ケ谷,,3216,228,1431,1518,50,632,7,203,435,53,135
総数,14101,33101,4,,,,神奈川県,横浜市鶴見区,獅子ケ谷,一丁目,2122,131,997,1077,36,392,4,114,282,30,83
総数,14101,33102,4,,,,神奈川県,横浜市鶴見区,獅子ケ谷,二丁目,844,81,345,360,12,168,3,72,107,15,49
総数,14101,33103,4,,,,神奈川県,横浜市鶴見区,獅子ケ谷,三丁目,250,16,89,81,2,72,-,17,46,8,3
総数,14101,341,3,,,,神奈川県,横浜市鶴見区,駒岡,,7164,561,2895,2873,84,1282,18,455,1554,134,245
総数,14101,34101,4,,,,神奈川県,横浜市鶴見区,駒岡,一丁目,1471,119,593,636,13,271,7,96,298,32,41
総数,14101,34102,4,,,,神奈川県,横浜市鶴見区,駒岡,二丁目,626,90,242,208,8,107,1,31,123,11,36
総数,14101,34103,4,,,,神奈川県,横浜市鶴見区,駒岡,三丁目,1491,104,556,601,21,291,4,122,310,26,51
総数,14101,34104,4,,,,神奈川県,横浜市鶴見区,駒岡,四丁目,2340,144,985,983,27,412,4,125,518,44,87
総数,14101,34105,4,,,,神奈川県,横浜市鶴見区,駒岡,五丁目,1236,104,519,445,15,201,2,81,305,21,30
総数,14101,350,3,,,,神奈川県,横浜市鶴見区,上末吉,,4401,311,1785,1766,74,819,7,250,1064,65,147
総数,14101,35001,4,,,,神奈川県,横浜市鶴見区,上末吉,一丁目,1176,87,510,458,14,232,1,58,272,17,46
総数,14101,35002,4,,,,神奈川県,横浜市鶴見区,上末吉,二丁目,1101,82,463,435,27,177,2,52,302,18,30
総数,14101,35003,4,,,,神奈川県,横浜市鶴見区,上末吉,三丁目,499,39,203,208,8,94,1,29,114,5,16
総数,14101,35004,4,,,,神奈川県,横浜市鶴見区,上末吉,四丁目,633,37,249,264,12,118,1,38,150,9,27
総数,14101,35005,4,,,,神奈川県,横浜市鶴見区,上末吉,五丁目,992,66,360,401,13,198,2,73,226,16,28
総数,14101,400,3,,,,神奈川県,横浜市鶴見区,下末吉,,6327,595,2862,2305,82,861,21,295,1346,83,321
総数,14101,40001,4,,,,神奈川県,横浜市鶴見区,下末吉,一丁目,885,95,470,240,7,99,2,31,183,10,36
総数,14101,40002,4,,,,神奈川県,横浜市鶴見区,下末吉,二丁目,939,78,446,348,9,102,2,32,252,10,31
総数,14101,40003,4,,,,神奈川県,横浜市鶴見区,下末吉,三丁目,692,69,302,300,15,74,3,38,169,12,19
総数,14101,40004,4,,,,神奈川県,横浜市鶴見区,下末吉,四丁目,715,74,300,275,12,100,2,36,171,13,25
総数,14101,40005,4,,,,神奈川県,横浜市鶴見区,下末吉,五丁目,1755,151,789,642,21,285,7,78,324,18,74
総数,14101,40006,4,,,,神奈川県,横浜市鶴見区,下末吉,六丁目,1341,128,555,500,18,201,5,80,247,20,136
総数,14101,460,3,,,,神奈川県,横浜市鶴見区,梶山,,2489,120,981,986,30,625,6,181,447,32,83
総数,14101,46001,4,合算地域あり,,480,神奈川県,横浜市鶴見区,梶山,一丁目,924,46,373,352,16,203,-,75,171,13,29
総数,14101,46002,4,,,,神奈川県,横浜市鶴見区,梶山,二丁目,1565,74,608,634,14,422,6,106,276,19,54
総数,14101,480,2,秘匿地域,46001,,神奈川県,横浜市鶴見区,三ツ池公園,,X,X,X,X,X,X,X,X,X,X,X
総数,14101,490,2,,,,神奈川県,横浜市鶴見区,江ケ崎町,,3873,286,2085,876,49,457,3,108,967,35,103
総数,14101,500,3,,,,神奈川県,横浜市鶴見区,矢向,,10260,867,6443,954,175,918,13,232,1567,109,311
総数,14101,50001,4,,,,神奈川県,横浜市鶴見区,矢向,一丁目,3190,234,1738,449,52,377,2,88,709,45,89
総数,14101,50002,4,,,,神奈川県,横浜市鶴見区,矢向,二丁目,869,73,569,53,17,79,1,13,115,7,29
総数,14101,50003,4,,,,神奈川県,横浜市鶴見区,矢向,三丁目,2026,167,1348,116,28,157,5,43,270,14,72
総数,14101,50004,4,,,,神奈川県,横浜市鶴見区,矢向,四丁目,1718,172,1108,156,43,127,2,43,205,17,48
総数,14101,50005,4,,,,神奈川県,横浜市鶴見区,矢向,五丁目,1638,144,1125,120,24,122,2,25,187,16,40
総数,14101,50006,4,,,,神奈川県,横浜市鶴見区,矢向,六丁目,819,77,555,60,11,56,1,20,81,10,33
総数,14101,560,2,,,,神奈川県,横浜市鶴見区,市場上町,,1419,83,966,71,14,102,1,18,194,29,64
総数,14101,570,2,,,,神奈川県,横浜市鶴見区,市場東中町,,495,43,308,29,8,53,-,12,62,4,21
総数,14101,580,2,,,,神奈川県,横浜市鶴見区,市場西中町,,634,47,421,50,17,38,2,14,79,7,38
総数,14101,590,2,,,,神奈川県,横浜市鶴見区,市場下町,,1471,104,914,90,20,153,2,34,262,13,53
総数,14101,600,2,,,,神奈川県,横浜市鶴見区,市場大和町,,946,66,663,57,22,67,3,21,113,18,34
総数,14101,610,2,,,,神奈川県,横浜市鶴見区,市場富士見町,,758,50,520,49,14,75,4,10,90,6,25
総数,14101,620,3,,,,神奈川県,横浜市鶴見区,尻手,,5346,357,3585,344,57,454,8,87,928,47,128
総数,14101,62001,4,,,,神奈川県,横浜市鶴見区,尻手,一丁目,2765,157,1864,148,24,249,7,50,556,21,63
総数,14101,62002,4,,,,神奈川県,横浜市鶴見区,尻手,二丁目,1048,93,641,76,14,103,-,23,182,15,19
総数,14101,62003,4,,,,神奈川県,横浜市鶴見区,尻手,三丁目,1533,107,1080,120,19,102,1,14,190,11,46
総数,14101,650,2,,,,神奈川県,横浜市鶴見区,菅沢町,,703,67,401,48,13,91,5,13,121,7,20
総数,14101,660,3,,,,神奈川県,横浜市鶴見区,栄町通,,1955,144,926,385,53,268,6,51,518,29,85
総数,14101,66001,4,,,,神奈川県,横浜市鶴見区,栄町通,一丁目,500,39,188,109,15,72,3,18,157,12,27
総数,14101,66002,4,,,,神奈川県,横浜市鶴見区,栄町通,二丁目,418,32,173,86,10,73,1,13,125,9,10
総数,14101,66003,4,,,,神奈川県,横浜市鶴見区,栄町通,三丁目,546,32,304,132,15,67,-,9,139,5,25
総数,14101,66004,4,,,,神奈川県,横浜市鶴見区,栄町通,四丁目,491,41,261,58,13,56,2,11,97,3,23
総数,14101,700,3,,,,神奈川県,横浜市鶴見区,平安町,,4358,262,2350,984,55,535,16,126,1006,69,127
総数,14101,70001,4,,,,神奈川県,横浜市鶴見区,平安町,一丁目,2097,112,1271,193,35,215,11,53,417,30,55
総数,14101,70002,4,,,,神奈川県,横浜市鶴見区,平安町,二丁目,2261,150,1079,791,20,320,5,73,589,39,72
総数,14101,720,3,,,,神奈川県,横浜市鶴見区,向井町,,1860,169,938,534,37,189,7,47,450,36,65
総数,14101,72001,4,,,,神奈川県,横浜市鶴見区,向井町,一丁目,403,27,263,76,7,34,2,8,73,5,5
総数,14101,72002,4,,,,神奈川県,横浜市鶴見区,向井町,二丁目,256,20,136,52,3,37,-,9,63,5,7
総数,14101,72003,4,,,,神奈川県,横浜市鶴見区,向井町,三丁目,705,69,336,230,18,66,4,19,172,19,32
総数,14101,72004,4,,,,神奈川県,横浜市鶴見区,向井町,四丁目,496,53,203,176,9,52,1,11,142,7,21
総数,14101,760,2,,,,神奈川県,横浜市鶴見区,大東町,,910,99,340,271,7,156,3,35,245,21,27
総数,14101,770,3,,,,神奈川県,横浜市鶴見区,潮田町,,2106,243,946,382,40,229,12,54,497,50,111
総数,14101,77001,4,,,,神奈川県,横浜市鶴見区,潮田町,一丁目,760,78,424,85,14,73,4,18,141,11,26
総数,14101,77002,4,,,,神奈川県,横浜市鶴見区,潮田町,二丁目,469,49,219,73,7,44,2,15,121,8,34
総数,14101,77003,4,,,,神奈川県,横浜市鶴見区,潮田町,三丁目,555,79,203,128,9,71,2,15,138,17,36
総数,14101,77004,4,,,,神奈川県,横浜市鶴見区,潮田町,四丁目,322,37,100,96,10,41,4,6,97,14,15
総数,14101,810,3,,,,神奈川県,横浜市鶴見区,本町通,,1949,205,1096,294,41,175,5,34,329,27,70
総数,14101,81001,4,,,,神奈川県,横浜市鶴見区,本町通,一丁目,478,44,304,53,2,48,1,7,56,7,10
総数,14101,81002,4,,,,神奈川県,横浜市鶴見区,本町通,二丁目,452,48,233,69,12,45,-,8,89,4,24
総数,14101,81003,4,,,,神奈川県,横浜市鶴見区,本町通,三丁目,467,53,263,83,14,35,2,6,77,8,18
総数,14101,81004,4,,,,神奈川県,横浜市鶴見区,本町通,四丁目,552,60,296,89,13,47,2,13,107,8,18
総数,14101,850,3,,,,神奈川県,横浜市鶴見区,仲通,,1290,145,513,278,30,154,5,36,362,37,74
総数,14101,85001,4,,,,神奈川県,横浜市鶴見区,仲通,一丁目,360,32,182,94,11,28,2,6,99,4,20
総数,14101,85002,4,,,,神奈川県,横浜市鶴見区,仲通,二丁目,415,58,166,91,7,56,3,8,109,14,22
総数,14101,85003,4,,,,神奈川県,横浜市鶴見区,仲通,三丁目,515,55,165,93,12,70,-,22,154,19,32
総数,14101,880,3,,,,神奈川県,横浜市鶴見区,浜町,,322,41,101,53,13,49,-,9,91,6,21
総数,14101,88001,4,,,,神奈川県,横浜市鶴見区,浜町,一丁目,242,30,77,42,9,35,-,6,75,4,14
総数,14101,88002,4,,,,神奈川県,横浜市鶴見区,浜町,二丁目,80,11,24,11,4,14,-,3,16,2,7
総数,14101,900,3,,,,神奈川県,横浜市鶴見区,朝日町,,1254,108,431,343,25,224,4,54,341,25,56
総数,14101,90001,4,,,,神奈川県,横浜市鶴見区,朝日町,一丁目,416,42,135,89,13,72,-,17,99,10,29
総数,14101,90002,4,,,,神奈川県,横浜市鶴見区,朝日町,二丁目,838,66,296,254,12,152,4,37,242,15,27
総数,14101,920,2,,,,神奈川県,横浜市鶴見区,寛政町,,433,37,184,56,6,68,1,20,99,7,32
総数,14101,930,2,,,,神奈川県,横浜市鶴見区,弁天町,,3,-,2,2,-,-,-,-,1,-,-
総数,14101,940,3,,,,神奈川県,横浜市鶴見区,汐入町,,1194,193,491,171,23,144,6,41,263,28,62
総数,14101,94001,4,,,,神奈川県,横浜市鶴見区,汐入町,一丁目,435,63,196,62,7,54,1,10,100,7,12
総数,14101,94002,4,,,,神奈川県,横浜市鶴見区,汐入町,二丁目,236,33,102,53,8,26,2,6,57,7,10
総数,14101,94003,4,,,,神奈川県,横浜市鶴見区,汐入町,三丁目,523,97,193,56,8,64,3,25,106,14,40
総数,14101,970,3,,,,神奈川県,横浜市鶴見区,下野谷町,,2175,191,1247,155,44,195,4,48,389,31,128
総数,14101,97001,4,,,,神奈川県,横浜市鶴見区,下野谷町,一丁目,1126,82,697,80,19,79,-,18,187,20,86
総数,14101,97002,4,,,,神奈川県,横浜市鶴見区,下野谷町,二丁目,263,26,144,21,1,25,-,4,48,4,13
総数,14101,97003,4,,,,神奈川県,横浜市鶴見区,下野谷町,三丁目,285,33,142,20,12,27,1,11,57,3,13
総数,14101,97004,4,,,,神奈川県,横浜市鶴見区,下野谷町,四丁目,501,50,264,34,12,64,3,15,97,4,16
総数,14101,1010,2,,,,神奈川県,横浜市鶴見区,小野町,,1157,145,685,75,15,99,-,37,170,20,50
総数,14101,1020,3,,,,神奈川県,横浜市鶴見区,末広町,,-,-,-,-,-,-,-,-,-,-,-
総数,14101,102001,4,,,,神奈川県,横浜市鶴見区,末広町,一丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14101,102002,4,,,,神奈川県,横浜市鶴見区,末広町,二丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14101,1040,3,,,,神奈川県,横浜市鶴見区,安善町,,16,3,3,2,-,2,-,1,3,-,4
総数,14101,104001,4,,,,神奈川県,横浜市鶴見区,安善町,一丁目,16,3,3,2,-,2,-,1,3,-,4
総数,14101,104002,4,,,,神奈川県,横浜市鶴見区,安善町,二丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14101,1060,2,,,,神奈川県,横浜市鶴見区,扇島,,-,-,-,-,-,-,-,-,-,-,-
総数,14101,1070,3,,,,神奈川県,横浜市鶴見区,元宮,,2210,170,1216,212,34,246,5,68,532,30,121
総数,14101,107001,4,,,,神奈川県,横浜市鶴見区,元宮,一丁目,1286,119,701,113,17,143,3,45,255,14,63
総数,14101,107002,4,,,,神奈川県,横浜市鶴見区,元宮,二丁目,924,51,515,99,17,103,2,23,277,16,58
総数,14101,1090,3,,,,神奈川県,横浜市鶴見区,東寺尾,,8373,674,4176,3535,118,1405,30,466,928,101,249
総数,14101,109001,4,,,,神奈川県,横浜市鶴見区,東寺尾,一丁目,2202,183,1066,1027,34,388,9,130,233,34,61
総数,14101,109002,4,,,,神奈川県,横浜市鶴見区,東寺尾,二丁目,968,76,475,462,13,179,1,63,93,9,33
総数,14101,109003,4,,,,神奈川県,横浜市鶴見区,東寺尾,三丁目,1437,110,700,561,20,285,5,98,146,13,35
総数,14101,109004,4,,,,神奈川県,横浜市鶴見区,東寺尾,四丁目,979,72,574,270,20,116,4,41,116,10,25
総数,14101,109005,4,,,,神奈川県,横浜市鶴見区,東寺尾,五丁目,1395,141,690,550,12,193,8,63,159,16,56
総数,14101,109006,4,,,,神奈川県,横浜市鶴見区,東寺尾,六丁目,1392,92,671,665,19,244,3,71,181,19,39
総数,14101,1150,2,,,,神奈川県,横浜市鶴見区,東寺尾東台,,1218,114,730,190,13,143,6,53,147,14,53
総数,14101,1160,2,,,,神奈川県,横浜市鶴見区,東寺尾中台,,2306,158,1477,759,45,234,4,68,217,13,72
総数,14101,1170,2,,,,神奈川県,横浜市鶴見区,東寺尾北台,,729,56,439,341,14,95,7,19,47,9,27
総数,14101,1180,3,,,,神奈川県,横浜市鶴見区,上の宮,,2766,150,2030,312,20,269,5,62,193,32,79
総数,14101,118001,4,,,,神奈川県,横浜市鶴見区,上の宮,一丁目,1619,82,1202,214,14,170,4,26,91,16,35
総数,14101,118002,4,,,,神奈川県,横浜市鶴見区,上の宮,二丁目,1147,68,828,98,6,99,1,36,102,16,44
総数,14101,1200,3,,,,神奈川県,横浜市鶴見区,鶴見中央,,10955,1098,7744,909,222,563,26,101,808,78,430
総数,14101,120001,4,,,,神奈川県,横浜市鶴見区,鶴見中央,一丁目,1611,163,1191,144,35,82,7,11,68,7,46
総数,14101,120002,4,,,,神奈川県,横浜市鶴見区,鶴見中央,二丁目,2699,284,1922,178,83,139,3,20,207,13,92
総数,14101,120003,4,,,,神奈川県,横浜市鶴見区,鶴見中央,三丁目,2385,267,1541,248,31,158,5,33,276,20,105
総数,14101,120004,4,,,,神奈川県,横浜市鶴見区,鶴見中央,四丁目,2373,194,1754,192,46,87,6,21,126,18,126
総数,14101,120005,4,,,,神奈川県,横浜市鶴見区,鶴見中央,五丁目,1887,190,1336,147,27,97,5,16,131,20,61
総数,14101,1240,2,,,,神奈川県,横浜市鶴見区,大黒ふ頭,,-,-,-,-,-,-,-,-,-,-,-
総数,14101,1250,2,,,,神奈川県,横浜市鶴見区,公有水面調査区,,-,-,-,-,-,-,-,-,-,-,-
総数,14102,-,1,,,,神奈川県,横浜市神奈川区,,,113122,10549,74102,16070,1306,12807,346,3697,8435,1242,3487
総数,14102,10,3,,,,神奈川県,横浜市神奈川区,西寺尾,,5789,433,3571,1058,79,773,10,278,714,81,180
総数,14102,1001,4,,,,神奈川県,横浜市神奈川区,西寺尾,一丁目,1089,88,645,228,14,160,-,61,126,12,35
総数,14102,1002,4,,,,神奈川県,横浜市神奈川区,西寺尾,二丁目,1261,105,772,166,13,178,4,61,145,22,41
総数,14102,1003,4,,,,神奈川県,横浜市神奈川区,西寺尾,三丁目,1845,143,1166,215,18,228,2,74,231,21,60
総数,14102,1004,4,,,,神奈川県,横浜市神奈川区,西寺尾,四丁目,1594,97,988,449,34,207,4,82,212,26,44
総数,14102,50,3,,,,神奈川県,横浜市神奈川区,松見町,,5474,360,3864,650,60,561,13,162,387,61,170
総数,14102,5001,4,,,,神奈川県,横浜市神奈川区,松見町,一丁目,1384,124,890,92,18,170,5,54,111,21,77
総数,14102,5002,4,,,,神奈川県,横浜市神奈川区,松見町,二丁目,1442,88,1010,107,16,160,1,47,124,16,45
総数,14102,5003,4,,,,神奈川県,横浜市神奈川区,松見町,三丁目,1353,67,1004,190,9,116,4,29,87,9,34
総数,14102,5004,4,,,,神奈川県,横浜市神奈川区,松見町,四丁目,1295,81,960,261,17,115,3,32,65,15,14
総数,14102,90,3,,,,神奈川県,横浜市神奈川区,新子安,,3877,345,2963,247,55,250,10,45,159,21,154
総数,14102,9001,4,,,,神奈川県,横浜市神奈川区,新子安,一丁目,2681,259,2042,154,41,171,8,28,83,11,126
総数,14102,9002,4,,,,神奈川県,横浜市神奈川区,新子安,二丁目,1196,86,921,93,14,79,2,17,76,10,28
総数,14102,110,3,,,,神奈川県,横浜市神奈川区,子安台,,977,105,627,117,16,93,5,36,104,4,24
総数,14102,11001,4,,,,神奈川県,横浜市神奈川区,子安台,一丁目,444,55,271,32,11,46,3,15,50,1,11
総数,14102,11002,4,,,,神奈川県,横浜市神奈川区,子安台,二丁目,533,50,356,85,5,47,2,21,54,3,13
総数,14102,130,2,,,,神奈川県,横浜市神奈川区,神之木町,,1165,125,834,78,15,102,2,24,63,5,32
総数,14102,140,2,,,,神奈川県,横浜市神奈川区,神之木台,,1139,94,778,101,14,112,3,34,85,15,59
総数,14102,150,3,,,,神奈川県,横浜市神奈川区,子安通,,3883,297,2956,253,68,244,5,71,202,27,164
総数,14102,15001,4,,,,神奈川県,横浜市神奈川区,子安通,一丁目,1004,100,702,84,18,70,1,30,70,10,39
総数,14102,15002,4,,,,神奈川県,横浜市神奈川区,子安通,二丁目,723,45,554,37,10,42,1,14,26,4,50
総数,14102,15003,4,,,,神奈川県,横浜市神奈川区,子安通,三丁目,2156,152,1700,132,40,132,3,27,106,13,75
総数,14102,180,3,,,,神奈川県,横浜市神奈川区,入江,,2687,273,1901,163,39,203,3,57,176,28,95
総数,14102,18001,4,,,,神奈川県,横浜市神奈川区,入江,一丁目,1525,157,1100,93,28,100,2,28,94,10,51
総数,14102,18002,4,,,,神奈川県,横浜市神奈川区,入江,二丁目,1162,116,801,70,11,103,1,29,82,18,44
総数,14102,200,3,,,,神奈川県,横浜市神奈川区,守屋町,,-,-,-,-,-,-,-,-,-,-,-
総数,14102,20001,4,,,,神奈川県,横浜市神奈川区,守屋町,一丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14102,20002,4,,,,神奈川県,横浜市神奈川区,守屋町,二丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14102,20003,4,,,,神奈川県,横浜市神奈川区,守屋町,三丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14102,20004,4,,,,神奈川県,横浜市神奈川区,守屋町,四丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14102,240,2,,,,神奈川県,横浜市神奈川区,恵比須町,,-,-,-,-,-,-,-,-,-,-,-
総数,14102,250,2,,,,神奈川県,横浜市神奈川区,宝町,,-,-,-,-,-,-,-,-,-,-,-
総数,14102,260,2,,,,神奈川県,横浜市神奈川区,西大口,,1418,95,959,135,20,155,3,50,117,17,48
総数,14102,270,2,,,,神奈川県,横浜市神奈川区,大口仲町,,1922,180,1330,126,35,174,3,57,150,16,55
総数,14102,280,2,,,,神奈川県,横浜市神奈川区,大口通,,2235,223,1604,145,32,156,6,46,140,26,84
総数,14102,290,2,,,,神奈川県,横浜市神奈川区,七島町,,1218,123,774,85,13,127,3,39,111,11,56
総数,14102,300,2,,,,神奈川県,横浜市神奈川区,白幡町,,237,27,173,14,3,10,-,7,13,3,6
総数,14102,310,2,,,,神奈川県,横浜市神奈川区,白幡東町,,671,45,434,98,11,76,1,28,76,8,23
総数,14102,320,2,,,,神奈川県,横浜市神奈川区,白幡西町,,867,79,630,61,9,75,4,18,75,5,19
総数,14102,330,2,,,,神奈川県,横浜市神奈川区,白幡南町,,1020,86,720,97,7,83,1,19,111,11,24
総数,14102,340,2,,,,神奈川県,横浜市神奈川区,白幡上町,,1165,83,913,76,19,90,3,18,65,9,22
総数,14102,350,2,,,,神奈川県,横浜市神奈川区,白幡仲町,,1104,86,733,85,20,111,3,37,137,9,30
総数,14102,360,2,,,,神奈川県,横浜市神奈川区,白幡向町,,1304,92,923,102,21,104,3,38,101,12,42
総数,14102,370,2,,,,神奈川県,横浜市神奈川区,浦島丘,,734,53,521,89,14,56,2,11,58,5,31
総数,14102,380,2,,,,神奈川県,横浜市神奈川区,鳥越,,367,34,264,22,5,35,-,4,27,1,14
総数,14102,390,2,,,,神奈川県,横浜市神奈川区,立町,,425,31,335,33,4,20,2,5,15,3,15
総数,14102,400,2,,,,神奈川県,横浜市神奈川区,富家町,,682,36,523,36,6,28,8,9,22,6,61
総数,14102,410,3,,,,神奈川県,横浜市神奈川区,西神奈川,,2311,239,1803,195,34,94,5,22,77,17,74
総数,14102,41001,4,,,,神奈川県,横浜市神奈川区,西神奈川,一丁目,1423,140,1125,113,22,51,3,7,41,9,55
総数,14102,41002,4,,,,神奈川県,横浜市神奈川区,西神奈川,二丁目,415,40,340,34,11,18,1,2,10,6,5
総数,14102,41003,4,,,,神奈川県,横浜市神奈川区,西神奈川,三丁目,473,59,338,48,1,25,1,13,26,2,14
総数,14102,440,2,,,,神奈川県,横浜市神奈川区,二ツ谷町,,435,53,314,25,7,24,1,3,12,4,27
総数,14102,450,2,,,,神奈川県,横浜市神奈川区,台町,,1184,173,856,96,15,70,4,2,29,10,39
総数,14102,460,3,,,,神奈川県,横浜市神奈川区,鶴屋町,,275,50,186,16,4,9,-,2,7,2,19
総数,14102,46001,4,,,,神奈川県,横浜市神奈川区,鶴屋町,一丁目,46,11,34,2,-,1,-,-,-,-,-
総数,14102,46002,4,,,,神奈川県,横浜市神奈川区,鶴屋町,二丁目,130,22,95,4,3,4,-,2,4,-,4
総数,14102,46003,4,,,,神奈川県,横浜市神奈川区,鶴屋町,三丁目,99,17,57,10,1,4,-,-,3,2,15
総数,14102,490,2,,,,神奈川県,横浜市神奈川区,金港町,,709,78,504,63,14,68,10,1,21,7,13
総数,14102,500,2,,,,神奈川県,横浜市神奈川区,幸ケ谷,,359,44,242,31,3,34,1,7,34,2,9
総数,14102,510,2,,,,神奈川県,横浜市神奈川区,亀住町,,260,15,184,18,6,32,1,5,29,-,2
総数,14102,520,2,,,,神奈川県,横浜市神奈川区,栄町,,2519,320,1784,201,30,180,16,17,171,23,45
総数,14102,530,2,,,,神奈川県,横浜市神奈川区,山内町,,-,-,-,-,-,-,-,-,-,-,-
総数,14102,540,2,,,,神奈川県,横浜市神奈川区,星野町,,419,31,297,68,4,41,3,4,53,7,7
総数,14102,550,3,,,,神奈川県,横浜市神奈川区,新浦島町,,1348,125,1030,80,16,104,3,14,77,9,26
